0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.667408,-2.983828,3.0980291,-3.3108134,-1.5643841,-7.8616524,-2.1242816,2.8492036,-2.6678061,0.9590202,1.6281663,-2.736689,0.25424102,2.6753771,-1.7611655,-1.8864743,-0.9756199,-0.37943727,0.4002728,-3.0440438,-2.901258,-0.10924793,-0.86356527,-3.3332694,-1.9784652,0.45708147,-1.3991095,-2.9268556,0.0139566725,-0.49073392,-0.5709055,0.040399306,-1.2072176,-1.5949816,-1.4364873,neutral
-719.1283,70.20157,1.168397,13.122543,7.83695,14.41129,-4.1113596,4.4689727,-3.5393667,-3.6586075,-7.648504,-1.4770775,3.031821,-2.461868,0.59473425,0.9784503,-2.8361642,0.0738155,1.759312,-2.0631857,-2.3056283,-0.66225374,-0.9478812,0.49746618,-1.6925769,-3.471765,-0.26927546,-0.7767781,-4.0910745,-1.2800431,0.27546003,-2.5214698,-2.9876728,0.40973496,-0.48418447,-1.3983907,0.2552033,-0.98497826,-2.093061,-1.040791,neutral
-714.9957,69.68935,3.9245641,11.92419,6.4217234,11.011614,-2.8781028,4.5095577,-4.476109,-2.6715493,-7.4992843,-2.9622657,1.8734846,-2.9128888,0.52569187,1.3727965,-2.3648307,-2.0204957,1.6025525,-1.5617238,-3.7207894,-1.8949177,0.37380648,1.2185683,-2.7771025,-2.725419,-0.8127443,-0.5070557,-2.857712,-1.1507949,-0.0021191328,-0.90915155,-3.0459554,-0.37329426,-0.8491452,-0.92210466,-0.1703198,-1.1444225,-1.7256124,-1.4505606,neutral
-710.9753,67.56488,5.7822404,13.230726,6.190846,12.628252,-1.6751695,5.6574936,-4.950634,-3.4775453,-7.4165573,-1.9370043,2.2715254,-0.6112553,0.17463192,1.3954356,-2.391466,-0.66533786,1.7429572,-0.49506834,-3.0143747,-0.9791334,0.534614,0.26846275,-2.3651779,-2.670341,-1.3975949,-0.0439341,-2.159041,-1.5748216,-0.403806,-1.3296506,-2.5134048,-0.19027613,-0.6459489,-0.55391866,0.45929855,-1.5800847,-1.6476823,-1.5095106,neutral
-679.53876,78.69846,0.6677377,10.390019,5.2070203,11.5252285,-7.0435305,2.0349188,-6.769451,-3.4523165,-8.604058,-2.1430967,2.153603,-5.7758937,-1.6065857,1.3426598,-3.685317,-2.2485826,2.962755,-2.2755644,-5.540474,-1.7210926,-1.0960617,-1.7761083,-3.8315887,-2.8404799,-0.49156976,-1.1081339,-4.480332,-1.8882798,-1.4461465,-2.3935592,-3.6692696,-0.49370515,-1.3198105,-3.2003286,-0.40073356,-2.3981786,-2.7368388,-1.246355,happy
-658.3063,78.063484,-0.7869637,10.139039,8.304725,12.286283,-4.871698,0.52415824,-5.5969224,-3.2145643,-9.875024,-1.7062539,3.7575347,-5.973937,-0.33157283,2.978453,-3.0217645,-2.56812,3.6451254,-2.1180198,-5.375608,-2.093978,1.6240494,-1.1843982,-3.4878762,-3.219388,-0.42661506,-1.2460377,-5.856864,-0.6302452,-0.46622038,-1.6577942,-2.3192806,-1.458005,-1.3490729,-3.2940543,-0.007916082,-1.3784136,-3.117127,-0.79918444,happy
-693.60925,77.67328,2.3561034,12.037886,5.272909,9.537619,-5.2778487,3.814017,-8.264009,-3.2064867,-11.793282,-2.4545708,4.334239,-4.883298,-2.1284635,2.0463533,-3.1290445,-1.5454041,3.1501718,-3.032046,-4.228603,-1.6262956,-0.13141292,-2.0115032,-4.532954,-2.124431,-2.6634705,-0.583278,-3.9130845,-2.2408092,-0.58225334,-1.690992,-3.792525,0.030992014,-0.82077837,-2.3679042,-0.67349875,-2.0501904,-2.426102,-1.1997956,happy
-683.93146,74.13294,1.0578562,17.886679,6.339445,11.593822,-5.891603,6.8250275,-6.5876675,-1.8747078,-10.63755,-2.1259463,2.790956,-3.7434037,0.07247776,2.1894686,-2.9835167,-1.3212404,3.2872798,-3.3843741,-4.539811,-1.5245887,-0.5493213,-1.0891924,-4.567564,-1.847011,-2.226486,-0.41840065,-3.8095338,-2.6951325,0.022677433,-1.1722952,-4.315626,-0.29629806,-1.4798707,-2.2765543,-0.51021194,-2.18103,-2.1710744,-1.2014517,happy
-627.4205,67.704384,-6.669489,9.967615,-3.0760913,7.208737,-5.0634565,-2.9935553,-10.524828,-4.9895763,-8.107446,-8.362473,0.3314784,-4.2436495,-5.219749,0.21778582,-4.321857,-4.6360445,-1.473587,-3.0157268,-5.517128,-2.4348655,-1.3653435,-4.1196713,-4.51203,-3.3126726,-3.6878445,-2.3038878,-4.781651,-2.5594137,-1.9499012,-1.6940223,-1.247,0.85492843,0.9328427,0.45615357,-0.37700382,-1.5009383,-1.9258796,-1.2331253,happy
-591.9702,72.971,-6.905822,4.645147,0.41286418,8.77231,-4.154122,-3.5272965,-8.41551,-5.53817,-10.657866,-7.126159,4.071781,-3.4832249,-5.4047914,0.8693359,-2.3556378,-4.4506507,-0.5784074,-1.7785736,-6.545405,-4.639688,-1.144025,-3.5678375,-4.9191566,-4.1422744,-3.9449704,-1.9511943,-4.340653,-2.6003568,0.0098124305,-0.9525535,-3.2019978,-0.67393124,0.5550262,-2.313093,-2.0368211,-0.47399598,0.71392536,0.7556538,happy
-554.2307,70.283676,-10.080169,11.619575,-1.2718133,10.0290985,-6.932471,-0.29826075,-9.17895,-6.3009877,-12.87689,-5.181731,3.789686,-6.8733644,-3.9640012,1.6868478,-3.32886,-5.559685,0.8023906,-1.9896815,-7.0700197,-2.7475648,-0.6733145,-3.8868592,-5.28272,-3.9329636,-2.8237185,-2.5137646,-5.8452616,-2.6460056,-3.2979717,-2.9057574,-4.4308567,-2.3118117,-2.709728,-4.3691535,-0.9014351,-0.36411536,-1.4369469,1.6491854,happy
-568.1388,70.80917,-8.760222,11.967098,-2.9723804,10.001248,-8.551405,0.02781801,-9.052507,-6.3288474,-12.138224,-7.0935783,1.7016895,-5.7180758,-3.0275192,1.1591641,-2.6721177,-5.5882483,-1.0657128,-1.95952,-6.810384,-4.4911523,-1.1121565,-2.570263,-5.15708,-4.7329016,-2.7157762,-2.1995072,-6.433728,-3.5491924,-2.5800996,-2.421778,-5.1541953,-2.4990623,-2.667324,-3.7230113,-2.9257798,-1.8580989,-2.6327937,-2.174999,happy
-715.8727,74.985306,2.9195237,11.441712,6.960729,13.466071,-6.72605,4.73156,-6.0603504,-5.0608444,-7.6180463,-3.5482144,-1.2796025,-3.5052686,1.5040185,-1.6673055,-4.6470814,-1.398722,0.42264083,-3.067516,-3.5612204,-3.608915,-2.3603623,0.18047133,-3.6961973,-3.8520033,-1.9938285,-0.618229,-4.4605875,-2.0738494,-0.5538449,-2.5048208,-2.610093,-1.668118,-0.905493,-1.8386656,-1.7473068,-1.3653858,-1.9686564,-1.5951756,sad
-732.4855,80.96551,3.486698,13.031231,8.979398,14.10794,-4.78729,6.040529,-4.208775,-5.16262,-7.1502514,-4.6642747,-0.31327245,-2.176818,-0.45821688,-1.0323428,-2.9702644,-0.028320614,0.2460003,-1.661396,-2.2215548,-1.8605201,-1.1843708,1.2160262,-3.4273992,-3.7494133,-0.946119,0.095698014,-3.8884897,-1.7439624,0.076299556,-2.0458455,-1.9808115,-1.1088154,-1.7234302,-1.684681,-0.90431035,-0.7734115,-1.7357405,-1.7303205,sad
-766.6507,73.99263,2.4763806,10.077653,7.928804,11.792142,-5.2503986,4.0385647,-4.807725,-4.9669833,-7.7130537,-2.5745971,0.20226558,-1.4582433,-0.09136564,-0.90529317,-2.4779253,-1.9300303,0.17508842,-1.383714,-3.835055,-4.409331,-0.49962643,1.0700343,-3.8963583,-3.0342019,-2.342169,-1.0309312,-3.9242475,-1.9133875,0.16074592,-1.4910145,-1.4070644,-0.050361678,-1.7097125,-0.8784842,-0.23511341,-1.3237718,-3.3786516,-1.0370684,sad
-736.81494,70.96664,4.844919,13.2525215,7.9328127,11.802074,-4.9299827,6.692443,-3.7731934,-5.046368,-8.592158,-2.9672074,-0.14794518,-3.3797426,0.62999296,-0.12634215,-2.5132236,-1.9836737,1.3922098,0.13401192,-2.8598235,-2.5119686,-1.2122018,1.3082083,-3.6622906,-3.655927,-1.4567016,-0.7138877,-3.249944,-1.7579454,-0.41917318,-1.118916,-2.8217332,-1.6057993,-1.7481611,-0.40926394,-0.3730638,-0.83902496,-1.4029135,-1.067403,sad
-704.1285,77.837975,5.096842,14.805322,8.49169,14.999448,-6.490629,5.851003,-5.3327923,-4.5298414,-6.2781534,-1.552901,0.51038957,-4.0415516,0.81153905,-0.82738215,-3.6847048,-1.7788118,1.9421068,-2.2469885,-3.2226808,-2.772219,-1.696434,0.19081749,-2.7372365,-2.7511287,-1.7722872,-0.36888248,-4.9468603,-1.9291247,-0.75270057,-1.7337325,-2.17066,-0.4160234,-0.13685274,-1.0945629,-0.43080315,-1.9481626,-0.8935877,-1.6140404,sad
-652.24115,69.28093,-3.692371,11.728852,3.0127633,11.101811,-6.1069927,-1.5688689,-6.384502,-5.752694,-10.740143,-4.3840003,1.180043,-6.008564,-2.2729588,0.70329905,-3.6963775,-4.539521,1.7904214,-3.0540357,-6.212289,-2.3027375,0.54561263,-1.1767192,-4.405317,-2.8589842,-2.4877415,-4.152132,-4.5278826,-1.9703506,-2.4615774,-1.4147755,-3.1768486,-2.5488355,-0.99259204,-2.0884802,-0.84824127,-2.4045782,-2.594049,-2.3785262,sad
-650.43463,71.00575,-1.6740124,11.137108,6.426337,11.243235,-6.4243813,1.043488,-7.5295334,-6.578289,-13.766916,-3.7808657,1.167107,-6.466519,-1.8466762,0.44993588,-4.2047253,-3.6649122,1.6820557,-1.8880976,-4.9935975,-3.5044808,-1.2243037,-1.6040493,-3.9356692,-4.6879363,-3.0842369,-0.77356124,-5.076793,-3.8286035,-1.9610488,-1.5175936,-5.2060003,-2.0292227,-1.5557456,-3.1739335,-1.2354317,-3.2201936,-2.3302746,-2.1943483,sad
-636.48676,70.95319,-4.674072,14.9717245,3.3033524,11.239858,-7.639233,1.0996047,-7.3877835,-5.9723315,-11.932848,-3.0089712,1.6879241,-5.366695,-1.5202535,0.61628747,-5.0215516,-4.0088162,2.2532144,-3.0063324,-5.5013757,-3.3779,-1.5058589,-1.4256325,-4.754934,-3.3861935,-2.7200418,-0.60747355,-5.568753,-3.0666003,-1.2760773,-2.189247,-4.2404227,-0.82604736,-2.1374044,-3.2780337,-0.46189627,-2.9092548,-2.4886181,-2.4560215,sad
-578.98865,62.405315,-8.723745,13.807444,1.7894553,6.853797,-6.779374,1.681231,-3.1294832,-0.87246555,-9.711343,-3.9222546,1.1898443,-3.7243233,-1.9656609,0.19435607,-4.415188,-2.1147544,-0.7156224,-3.3726473,-3.651947,-1.7032434,-2.40775,-2.8732224,-3.9118767,-2.848507,-2.775229,-2.2486777,-4.2107463,-2.3585813,-1.4836942,-1.6866091,-3.358273,0.3106429,-0.5796406,-2.3427474,-0.46525297,0.010034167,-1.2519864,-1.4526057,angry
-558.0903,60.273037,-9.117495,13.649889,-2.4852571,6.0296597,-7.8237543,0.5218872,-7.946145,-5.875875,-9.344623,-5.446145,-1.7070966,-5.1905117,-4.1864047,-1.3533067,-4.8050766,-2.6292021,-1.974268,-4.780808,-4.9725795,-1.2799162,-3.4028103,-3.9719522,-3.3627903,-2.5095763,-3.1481738,-0.5334844,-2.3583155,-0.60661227,-1.4692942,-0.7639975,-2.621752,-0.96818715,-1.6112051,-2.7582586,-1.6067156,-0.9922833,-2.5597982,-1.6857023,angry
-595.0243,58.63152,-2.3276181,13.655265,2.5868275,7.255311,-6.0467424,2.112173,-5.7803307,-4.3421254,-9.432347,-3.4377162,-0.09518719,-5.3476505,-0.6031702,-0.71747947,-4.5572424,-1.5924432,0.046154916,-2.8753767,-5.7461805,-1.4012327,-1.0356464,-2.94439,-4.6503825,-3.4400973,-1.8095429,-2.1046824,-4.2913733,-2.7670538,-1.8389455,-2.3171694,-3.6732945,-1.4841696,-1.4856931,-2.1283062,-1.4127328,-0.53624827,-1.6430423,-0.59068227,angry
